,OSEBuildingID,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu)
2248,24959,NonResidential,Mixed Use Property,2,GREATER DUWAMISH,47.57506,-122.33862,1952-01-01,1.0,1,35310,0,35310,"Non-Refrigerated Warehouse, Other, Refrigerated Warehouse",Other,10471.0,,1519845.5
2252,24991,NonResidential,Other,2,GREATER DUWAMISH,47.54089,-122.32323,1962-01-01,1.0,3,36140,0,36140,Other,Other,34733.0,,4653535.0
2253,24994,NonResidential,Other,3,DOWNTOWN,47.59886,-122.31678,1991-01-01,1.0,2,47963,21384,26579,"Other - Mall, Parking",Other - Mall,29640.0,,8224244.0
2254,25000,NonResidential,Warehouse,2,DOWNTOWN,47.59774,-122.31936,1930-01-01,1.0,1,23903,0,23903,"Non-Refrigerated Warehouse, Worship Facility",Non-Refrigerated Warehouse,18350.0,65.0,486884.9063
2255,25001,NonResidential,Self-Storage Facility,4,NORTHEAST,47.67923,-122.31715,1947-01-01,1.0,3,22522,0,22522,Self-Storage Facility,Self-Storage Facility,22522.0,,630412.625
2256,25002,NonResidential,Self-Storage Facility,4,NORTHEAST,47.67905,-122.31697,1996-01-01,1.0,4,38959,0,38959,Self-Storage Facility,Self-Storage Facility,38959.0,,963968.1875
2259,25025,NonResidential,Warehouse,3,GREATER DUWAMISH,47.5867,-122.30519,1928-01-01,1.0,2,25955,0,25955,"Non-Refrigerated Warehouse, Office, Other - Services",Non-Refrigerated Warehouse,14150.0,,1218112.0
2278,25115,NonResidential,Worship Facility,5,NORTHWEST,47.70901,-122.35498,1951-01-01,1.0,2,21936,0,21936,Worship Facility,Worship Facility,21936.0,96.0,686216.5
2280,25124,NonResidential,Other,5,NORTH,47.7162,-122.2956,1960-01-01,1.0,1,25406,0,25406,"Personal Services (Health/Beauty, Dry Cleaning, etc)","Personal Services (Health/Beauty, Dry Cleaning, etc)",25406.0,,2484501.5
2289,25148,NonResidential,Small- and Mid-Sized Office,2,SOUTHEAST,47.56029,-122.2858,1967-01-01,1.0,2,23250,0,23250,Office,Office,22014.0,55.0,888432.5
2292,25163,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55966,-122.33146,1960-01-01,1.0,1,30000,0,30000,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,30000.0,32.0,3246531.0
2293,25165,Nonresidential COS,Warehouse,2,GREATER DUWAMISH,47.56522,-122.32205,1962-01-01,1.0,1,45036,0,45036,"Non-Refrigerated Warehouse, Office, Repair Services (Vehicle, Shoe, Locksmith, etc)",Non-Refrigerated Warehouse,21110.0,,1989787.875
2314,25222,NonResidential,Mixed Use Property,7,DOWNTOWN,47.61376,-122.33445,2009-01-01,1.0,39,1074552,112124,962428,"Hotel, Multifamily Housing, Parking",Multifamily Housing,311521.0,65.0,26932200.0
2324,25250,NonResidential,University,7,MAGNOLIA / QUEEN ANNE,47.65019,-122.36173,1959-01-01,1.0,2,122679,0,122679,"College/University, Restaurant",College/University,101035.0,,17612938.0
2328,25268,NonResidential,Small- and Mid-Sized Office,5,NORTH,47.70868,-122.30089,1980-01-01,1.0,4,23022,0,23022,Office,Office,23022.0,78.0,1075427.75
2330,25275,NonResidential,Refrigerated Warehouse,2,GREATER DUWAMISH,47.56173,-122.32885,1967-01-01,1.0,1,27263,0,27263,"Office, Other, Refrigerated Warehouse",Refrigerated Warehouse,22000.0,,2408141.75
2331,25276,NonResidential,Warehouse,2,GREATER DUWAMISH,47.56318,-122.32889,1962-01-01,1.0,1,31569,0,31569,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,33000.0,12.0,3344952.0
2332,25277,NonResidential,Warehouse,2,GREATER DUWAMISH,47.56362,-122.32876,1956-01-01,1.0,1,22509,0,22509,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22509.0,57.0,177812.7969
2333,25278,NonResidential,Warehouse,2,GREATER DUWAMISH,47.56424,-122.32902,1956-01-01,1.0,1,39984,0,39984,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,31184.0,75.0,1163530.25
2342,25325,NonResidential,Worship Facility,3,EAST,47.62322037,-122.320017,1906-01-01,1.0,1,26440,0,26440,Worship Facility,Worship Facility,26440.0,91.0,826275.1875
2357,25364,NonResidential,Self-Storage Facility,3,GREATER DUWAMISH,47.59291,-122.31042,1956-01-01,1.0,2,28800,0,28800,Self-Storage Facility,Self-Storage Facility,28800.0,,1266706.875
2359,25371,NonResidential,K-12 School,3,CENTRAL,47.61791,-122.28594,2009-01-01,4.0,2,28500,0,28500,K-12 School,K-12 School,31100.0,92.0,1300765.5
2379,25451,NonResidential,Restaurant,3,LAKE UNION,47.62902,-122.33173,1978-01-01,1.0,2,26519,0,26519,"Office, Restaurant",Restaurant,13592.0,,3717064.0
2380,25452,NonResidential,Mixed Use Property,3,LAKE UNION,47.62774,-122.33384,1988-01-01,1.0,2,34639,15402,19237,"Other, Parking, Restaurant",Restaurant,23373.0,,15960838.0
2381,25457,NonResidential,Other,7,MAGNOLIA / QUEEN ANNE,47.62643,-122.33946,1921-01-01,1.0,2,26300,0,26300,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,26300.0,,3711173.0
2382,25461,NonResidential,Restaurant,7,LAKE UNION,47.63734,-122.33988,1962-01-01,0.0,2,34072,0,34072,Restaurant,Restaurant,34072.0,,7007726.0
2383,25462,NonResidential,Small- and Mid-Sized Office,7,LAKE UNION,47.63614,-122.33982,1949-01-01,1.0,3,23355,0,23355,Office,Office,21915.0,77.0,840549.375
2384,25464,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.63575,-122.33895,1965-01-01,1.0,4,30840,0,30840,"Office, Restaurant",Office,29255.0,30.0,3840161.75
2385,25471,NonResidential,Other,4,NORTHEAST,47.67642,-122.3035,1946-01-01,1.0,1,20332,0,20332,Other,Other,20332.0,,431857.6875
2392,25513,NonResidential,Worship Facility,3,CENTRAL,47.61118,-122.288,1900-01-01,1.0,1,21850,0,21850,Worship Facility,Worship Facility,21850.0,100.0,359962.5938
2394,25522,NonResidential,Mixed Use Property,4,NORTHEAST,47.66827,-122.29978,1997-01-01,1.0,4,32282,6985,25297,"Multifamily Housing, Office, Other, Parking",Multifamily Housing,12600.0,,1500695.375
2398,25528,NonResidential,Large Office,7,DOWNTOWN,47.60449,-122.33803,1983-01-01,1.0,13,307557,83064,224493,"Multifamily Housing, Office, Parking, Retail Store",Office,162422.0,,9691704.0
2402,25537,NonResidential,Self-Storage Facility,7,MAGNOLIA / QUEEN ANNE,47.64633,-122.3508,1918-01-01,1.0,2,28309,0,28309,Self-Storage Facility,Self-Storage Facility,28309.0,,498364.9063
2403,25540,NonResidential,Hotel,7,DOWNTOWN,47.60154,-122.3352,1914-01-01,1.0,4,45500,0,45500,Hotel,Hotel,45500.0,77.0,2934339.25
2404,25541,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60106,-122.33458,1900-01-01,1.0,5,38376,0,38376,"Office, Retail Store",Office,29258.0,,2142457.5
2406,25543,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60149,-122.33458,1900-01-01,1.0,4,42804,0,42804,"Office, Retail Store",Office,24120.0,,1598032.0
2407,25546,NonResidential,Mixed Use Property,7,DOWNTOWN,47.6005,-122.33514,2005-01-01,0.0,5,57600,0,57600,"Financial Office, Multifamily Housing, Parking, Residence Hall/Dormitory",Residence Hall/Dormitory,27600.0,,7355579.0
2409,25548,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60023,-122.33459,1900-01-01,1.0,4,33300,0,33300,"Office, Restaurant, Retail Store, Self-Storage Facility",Office,26639.0,,1355968.5
2411,25554,NonResidential,Other,7,DOWNTOWN,47.59976,-122.33514,1900-01-01,1.0,3,22200,0,22200,Other,Other,22200.0,,231847.0938
2412,25563,NonResidential,Warehouse,7,MAGNOLIA / QUEEN ANNE,47.64306,-122.34219,1968-01-01,1.0,2,29498,0,29498,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,19749.0,,3930355.5
2413,25567,NonResidential,Warehouse,4,LAKE UNION,47.64793,-122.34358,1938-01-01,1.0,1,23050,0,23050,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,23050.0,27.0,486485.3125
2414,25568,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.64747,-122.34086,2008-01-01,1.0,4,48350,0,48350,Office,,,45.0,3280955.5
2415,25572,NonResidential,Retail Store,4,NORTHEAST,47.66097,-122.3192,1930-01-01,1.0,1,46059,0,46059,Retail Store,Retail Store,46000.0,82.0,1656820.0
2432,25635,NonResidential,Medical Office,4,NORTHEAST,47.67437,-122.3181,1970-01-01,1.0,2,23595,0,23595,Medical Office,Medical Office,23595.0,72.0,823716.875
2438,25657,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.59938,-122.33328,1900-01-01,1.0,3,28142,0,28142,Office,Office,28142.0,96.0,911154.125
2439,25658,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.59954,-122.33327,1900-01-01,1.0,3,28760,0,28760,"Non-Refrigerated Warehouse, Office, Retail Store",Office,12314.0,,2726126.75
2440,25659,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.59979,-122.33318,1902-01-01,1.0,4,39030,0,39030,"Office, Retail Store",Office,32001.0,99.0,773324.6875
2441,25661,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60071,-122.33377,1909-01-01,0.0,3,47215,0,47215,"Office, Retail Store",Office,23659.0,58.0,2136896.0
2442,25663,Nonresidential COS,Other,3,EAST,47.61492,-122.31728,1926-01-01,1.0,2,61580,27000,34580,"Other, Parking",Other,36280.0,,4489734.5
2443,25664,NonResidential,Small- and Mid-Sized Office,3,EAST,47.61459,-122.31724,1917-01-01,1.0,3,30720,0,30720,"Office, Retail Store",Office,29720.0,,1361277.25
2444,25666,NonResidential,Mixed Use Property,3,EAST,47.61428,-122.31726,1916-01-01,1.0,2,20640,0,20640,"Office, Restaurant, Retail Store",Retail Store,9750.0,,412562.4063
2445,25667,NonResidential,Mixed Use Property,3,EAST,47.61421,-122.3193,1912-01-01,1.0,2,34914,0,34914,"Office, Restaurant, Retail Store",Retail Store,14983.0,,1314474.5
2446,25670,NonResidential,Small- and Mid-Sized Office,3,EAST,47.61508,-122.31845,1906-01-01,1.0,3,20897,0,20897,"Non-Refrigerated Warehouse, Office, Retail Store",Office,10228.0,,1031474.188
2447,25671,NonResidential,Retail Store,3,EAST,47.61478,-122.31847,1916-01-01,1.0,2,36940,0,36940,Retail Store,Retail Store,36940.0,100.0,336745.4063
2448,25672,NonResidential,Small- and Mid-Sized Office,3,EAST,47.61435,-122.31859,1913-01-01,1.0,3,22866,0,22866,Office,Office,22866.0,,1213909.875
2449,25673,NonResidential,Retail Store,3,EAST,47.61466,-122.31984,1920-01-01,1.0,1,30240,0,30240,"Restaurant, Retail Store",Retail Store,32205.0,78.0,1316900.75
2454,25694,NonResidential,Other,4,NORTHEAST,47.65729,-122.31937,1962-01-01,1.0,2,28586,0,28586,Other,Other,27022.0,,5078204.0
2457,25709,NonResidential,Hotel,2,DOWNTOWN,47.59766,-122.32394,1908-01-01,1.0,3,28800,0,28800,"Hotel, Restaurant",Hotel,21600.0,,4644346.0
2459,25711,NonResidential,Restaurant,2,DOWNTOWN,47.59697,-122.32474,1913-01-01,1.0,3,28800,0,28800,Restaurant,,,,935833.1875
2460,25713,NonResidential,Small- and Mid-Sized Office,2,DOWNTOWN,47.59644,-122.32415,1979-01-01,1.0,3,35202,0,35202,"Bank Branch, Office",Office,24227.0,2.0,3605755.5
2467,25737,NonResidential,Senior Care Community,7,EAST,47.61318,-122.32747,1969-01-01,1.0,6,95117,26082,69035,"Parking, Senior Care Community",Senior Care Community,69035.0,1.0,7437745.0
2469,25743,NonResidential,Worship Facility,3,EAST,47.61426,-122.32661,1910-01-01,1.0,2,24600,0,24600,Worship Facility,Worship Facility,24600.0,69.0,347690.5938
2471,25745,NonResidential,Worship Facility,3,EAST,47.60514,-122.32613,1900-01-01,1.0,1,48850,0,48850,"Office, Other, Worship Facility",Worship Facility,28725.0,,1259282.25
2482,25772,NonResidential,Hospital,1,SOUTHWEST,47.58767,-122.38672,1961-01-01,0.0,3,54863,0,54863,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),109726.0,100.0,2066851.25
2489,25839,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55317,-122.33289,1964-01-01,1.0,1,25000,0,25000,"Food Sales, Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,13393.0,,2044286.625
2490,25842,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55544,-122.33294,1960-01-01,1.0,1,25000,0,25000,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,24000.0,,342696.3125
2491,25844,NonResidential,Other,2,GREATER DUWAMISH,47.55523,-122.33448,1927-01-01,1.0,1,22622,0,22622,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,23000.0,,872014.3125
